原文,译文
【クローディア】,
「目が覚めますよ」,
茶の脇には、熱い湯で絞った手巾が添えられているのだ。,
【クローディア】,
「目を覚ましていただけないと、可愛がっていただけないじゃありませんか……」,
手がこちらへ伸びてくる……,
【リサ】,
「クロと遊んだことあるでしょ？」,
<むせ>咽|た。,
【カイム】,
「とにかくその要領で、俺が今何を欲しているのか考えて、実行してみろ」,
【リサ】,
「は、はい！」,
勢いよく返事をして、考え込むリサ。,
【リサ】,
「……そうだ！」,
何かひらめいたのか、大仰に手を叩いてから動きだした。,
俺が座っているベッドに近づく。,
【リサ】,
「どいて」,
【カイム】,
「ん？　うわっ！？」,
そうして、俺が乗ったままの敷布団を無理やり引き剥がした。,
【カイム】,
「な、何を？」,
【リサ】,
「任せて任せて任せて」,
唖然とする俺を余所に、布団を抱えたまま鼻歌を歌うリサ。,
そのまま手際よく、布団一式を窓の外に干してしまった。,
【リサ】,
「どうっすかこれ！　決まったなぁ」,
【リサ】,
「やっぱ天気のいい日は、お布団干さないとね！」,
呆れて声も出ない。,
【リサ】,
「……どうしたの？」,
【カイム】,
「それじゃ家政婦だ。色気も魅力もない」,
【リサ】,
「あ……、ああ！　あああああっ！」,
今気がついたというような声を上げた。,
確信せざるを得ない。,
リサは、この商売に向いていない。,
俺としては、リサには好感を持っている。,
例えばリサが粉屋の女房にでも収まっていれば……,
多少の馬鹿も無理やり愛嬌の一部にして、可愛い女房になることはできたのだと思う。,
相手が女房なら、天気のいい日に布団を引っぺがされても文句は言えない。,
ただ、リリウムに来る客は非日常を求めている。,
どこにでもいる町娘ではなく、どこにもいないリリウムの娘という幻想を求めて来るのだ。,
つまりそれは、リサではない。,
【リサ】,
「うぅ……これじゃあいつまで経っても、年季なんて明けないよぅ」,
ぐずぐずと鼻を鳴らしながら、リサは干したばかりの布団を元に戻す。,
結局戻すのか。,
悩んでいるリサには悪いが、笑ってしまった。,
【リサ】,
「何？」,
【カイム】,
「いや」,
仕方ない。,
リサの人気など関係ないと言ってしまえばそれまでだ。,
しかし、年季も明けないまま、何年も愚痴を言いに来られたら、それはまた面倒でもある。,
もっと真剣に考えてやるか。,
【カイム】,
「現実的なのは、オズ案だな」,
リサならではの技を身につける、というやつだ。,
【カイム】,
「そうだな……まずは色気が足りないな」,
【リサ】,
「色気？」,
【カイム】,
「女らしい仕種や、男に訴えかける<なま>艶|めかしさだ」,
【リサ】,
「おー、なるほど！」,
リサが拳で手の平を叩いて納得する。,
【カイム】,
「そういうところが色気がないんだ……それじゃ、おっさんだ」,
【リサ】,
「む……あたしだって、その気になれば色気ぐらい……」,
【カイム】,
「じゃ、やってみろ」,
【リサ】,
「まーかせて！」,
今度は無駄に元気よく返事をする。,
全然わかってない。,
【リサ】,
「んふ……」,
リサが身体をくねらせ、<こ>媚|びた仕種を始めた……ようだった。,
【リサ】,
「うっふーん」,
……色気が増したように思えない。,
むしろ男がしなを作っているようで気持ちが悪い。,
【カイム】,
「やめろ。俺が悪かった。違う手を考える」,
【リサ】,
「えーっ。けっこういけてなかった？」,
あれを喜ぶのは相当特殊な客だけだ。,
下手に何かを足すからおかしくなるのかも知れない。,
魅力を増やすよりも、リサの欠点を直した方が良さそうだ。,
【カイム】,
「リサの欠点か……明る過ぎるのがいけない」,
【リサ】,
「へ？」,
【カイム】,
「お前がいると場が明るくなる」,
【リサ】,
「そうでしょ！　よく言われる」,
リサの笑顔は穏やかでのどかな今日の日差しのようだ。,
暖かく健全な気持ちになる。,
【カイム】,
「それがまずい」,
【リサ】,
「なんでよ」,
リサのような明るい性格は宴席を盛り上げる。,
リリウムでも重宝されていることだろう。,
しかしそれは誰かの引き立て役としてだ。,
【カイム】,
「道化役は女として意識しにくい。少し抑えろ」,
リリウムの客が求めるのは昼の安らぎではない。,
妖しい夜の闇に惑わされたくて店に来るのだ。,
【リサ】,
「こう？」,
明るい雰囲気が消え、どこかふて腐れているように見える。,
【カイム】,
「気を悪くしているとしか思えない」,
【リサ】,
「実際、気分悪いし！　カイムがやなこと言うから」,
【カイム】,
「お前のために言ってるんだ」,
【リサ】,
「本当！」,
俺の一言でリサの顔がパッと輝く。,
喜怒哀楽のはっきりした奴だ。,
【カイム】,
「いいか、リサ。明るくて楽しいのはいい」,
それがリサの性格で、最大の武器だ。,
【カイム】,
「だが男にこいつは俺がいなくても元気にやっていけると思わせちゃだめだ」,
【リサ】,
「元気じゃ……だめ？」,
リリウムで働く羽目になったんだ。,
リサだってそれなりに不幸な生い立ちのはずだ。,
それなのにこいつは微塵もそれを感じさせない。,
俺も感じられない。,
なんとなく放っておいても勝手に生き抜いていくような明るさと元気がある。,
それが不人気の原因かも知れない。,
【カイム】,
「少しでいい。相手の男に、俺が傍にいないとリサが不幸になると思わせるんだ」,
【リサ】,
「嘘をつくってこと？」,
【カイム】,
「そうじゃない。リサのことを心配させろ。俺がこいつを何とかしてやらないと……と男に思わせるんだ」,
【リサ】,
「えー、それってずるくない？」,
【カイム】,
「正直者が馬鹿を見る世界だ。ましてやここは牢獄。その上お前はリリウムにいるんだぞ」,
女にとって最もしたたかでいなければいけない場所だ。,
それなのにリサはまったく危機感がない。,
いや……俺に相談に来たってことは少しはあるのか。,
【リサ】,
「そんなの難しすぎるよぅ。あたしにもできることにしてよ」,
【カイム】,
「なら、あきらめろ」,
【リサ】,
「え？」,
【カイム】,
「クローディアやアイリスと張り合うのはやめて、お前らしく明るく生きればいい」,
不得意な分野で、得意な者たちと勝負することはない。,
リサが必死になって手に入れる資質を、クロとアイリスは最初から持っているのだ。,
リサが努力して追いついても、二人はほんの少しの努力で先へ行く。,
出発地点が違いすぎるのだ。勝負になるわけがない。,
【リサ】,
「ひどいよカイム。あたしが真剣に相談してるのに！」,
真剣だったのか……とてもそうは思えなかったが。,
これでもリサなりに大真面目に悩んでいたらしい。,
【カイム】,
「わかった！　お前の最大の欠点がわかったぞ」,
【リサ】,
「ほんと」,
【カイム】,
「お前は……おもしろ過ぎる」,
リサは一瞬、ぽかんと口を開けた。,
【リサ】,
「おもしろ過ぎる……って……うわーーーん！」,
リサが泣きながら駆けだしていく。,
【リサ】,
「カイムのばかーーー！！」,
叫びながらリサは出ていった。,
俺なりに<しんし>真摯|に相談に乗ったつもりだったのだが、どうやらお気に召さなかったようだ。,
【カイム】,
「悪いが、俺にはどうしてやることもできない」,
俺は飲み残しの火酒を<あお>呷|った。,
扉を叩く音がする。,
誰だ……またリサの奴か？,
【カイム】,
「んん……」,
仕方なく起き上がる。,
リサと気まずいことになった後、昼から酒を飲みすぎたらしい。,
【メルト】,
「カイム、いる？」,
現れたのはメルトだった。意外な客が続く日だ。,
やけに深刻な顔をしている。,
【カイム】,
「どうしたメルト。困り事か。また金でも掏られたか？」,
【カイム】,
「それともまさか……<みせ>ヴィノレタ|の経営相談にでも来たんじゃないだろうな」,
【メルト】,
「お<あいにくさま>生憎様|。<うち>ヴィノレタ|は充分繁盛してます」,
【メルト】,
「そんなことより、リサ来なかった？」,
【カイム】,
「ああ、昼過ぎに来たな」,
【メルト】,
「そう……こっちには来てないか」,
【カイム】,
「リサがどうかしたか？」,
【メルト】,
「うちに来て、さんざん飲んで……」,
なるほど……あの後やけ酒を食らったか。,
【カイム】,
「よくあることだろう」,
喜怒哀楽が激しい分、立ち直りも早いのがリサの長所だ。,
【メルト】,
「そうなんだけど、今日はちょっと様子が違っていて……思いつめた顔してたの、酷く」,
【カイム】,
「クローディアやアイリスと自分を比べて落ち込んでるんだろう。俺にはそう言ってた」,
【メルト】,
「そういう様子じゃなかったわね、あの<かお>表情|は」,
【カイム】,
「かお？」,
【メルト】,
「昔見たことあるわ、ああいう顔。あれ……リリウムの娘が足抜けする前に見せる<かお>表情|よ」,
思わず吹き出す。,
【カイム】,
「リサが？　相手の男がいるとは思えんが」,
【メルト】,
「もっと深刻ね。リリウムからじゃなくて、この世界からいなくなるかも……」,
【カイム】,
「冗談だろ。ここへ来たときはいつものリサだったぞ」,
【メルト】,
「冗談で私が店を放り出してここへ来ると思う？　カイムの名前を呼んでいたから来たんだけれど……」,
【メルト】,
「カイム……リサに変なこと言ってない？」,
【カイム】,
「いつもの軽口だ。あんなので死ぬなら、とっくにくたばってなきゃおかしい」,
【メルト】,
「そう。私の思い過ごしならいいけど……」,
メルトは落ち着かない様子のまま出ていこうとする。,
【カイム】,
「これからどこへ」,
【メルト】,
「リリウム。店に戻っていればいいけど。もし帰っていなかったらジークに伝えないと」,
【カイム】,
「どうにも信じられない。だってリサだぞ」,
【メルト】,
「わかってないわね。ああいう元気で明るい<こ>娘|ほど、いざとなると一番<もろ>脆|いんだから」,
メルトが出ていった後も、俺はしばらく立ちつくしていた。,
リサがいなくなる？　まったく現実感が感じられない。,
俺との会話のどこに絶望する必要がある？,
だが、しかし……,
この世界は不条理で、意味もなく人は死ぬ。,
それを《<グラン・フォルテ>大崩落|》で嫌と言うほど俺は味わった。,
ついさっきまで元気だった奴が翌日には<むくろ>骸|になる。,
そんな不合理を牢獄でもさんざん見てきた。,
それがなぜ、リサの身には起きないと言えるんだ？,
【カイム】,
「くそ！」,
後悔してからでは遅い。すぐにリサを捜すべきだ。,
だが、俺にはリサがどこへ行ったのか、見当すらつかなかった。,
気安く開放的なリサの本心がどこにあったのか、まるでわからない。,
俺はリサの何を見ていたんだ。,
気づくとリサが立っていた。,
【カイム】,
「リサ！　お前……」,
【リサ】,
「…………」,
呆けた表情でリサは立ちつくしている。,
【カイム】,
「どうしたんだ。メルトが心配していたぞ」,
【リサ】,
「…………」,
【カイム】,
「リサ？」,
無言だった。,
こんなに静かなリサを見るのは初めてだ。,
泣き腫らしたのか、かすかに<まぶた>瞼|が紅い。,
瞳も潤んでいるように見えた。,
【リサ】,
「……カイム」,
小さく名を呼び、俺の胸へ倒れ込んできた。,
泣きじゃくっているのか、小刻みに肩が震えている。,
内から溢れ出る活力を失ったリサは、弱く儚い女そのものだった。,
今まで誰に気づかれることなく、明るさと元気さを演じ続けていたのだろう。,
【カイム】,
「リサ……すまなかった。お前を傷つけたなら謝る」,
【リサ】,
「……」,
リサは必死に涙を堪えているようだった。,
俺に救いを求めているようだった。,
【カイム】,
「俺が間違っていた。リサは魅力的だ。お前は元気な方がいい」,
【リサ】,
「そんなの……遅いよ。もう、笑える気がしない……」,
【カイム】,
「もう泣きやめよ。明るいリサが一番だ」,
【リサ】,
「…………」,
リサは顔を赤らめながら、顔を寄せてくる。,
【リサ】,
「カイム……好き……」,
俺の身体をつかむ手がかすかに震えている。,
そうか。本気だったのか……だから俺の他愛ない言葉に傷ついたのか。,
いつになくリサが愛おしく思えた。,
これは憐れみか、同情か。どっちでもいい。,
リサに元気が戻るなら……俺はそっと唇を重ねた。,
【リサ】,
「ん……」,
待ち焦がれていたかのように、リサは激しく俺を求めた。,
息が苦しくなるほど長く、俺を離さなかった。,
【リサ】,
「んーーー、ああああっ！」,
口づけを終えたリサが感極まったように叫ぶ。,
【カイム】,
「……え？」,
【リサ】,
「やったーーー！！　作戦、大成功ーーっ！！」,
リサは溢れんばかりの笑顔で飛び跳ねている。,
【カイム】,
「作戦……だと……？」,
【リサ】,
「メルト、ありがとーー！　リサはついにやりましたー！」,
【カイム】,
「メルトの差し金か！」,
【リサ】,
「ヴィノレタで泣いてたら、メルトが教えてくれたんだ。カイムの助言通りにしたら……って」,
【カイム】,
「俺の助言？」,
【リサ】,
「元気じゃなくなって、カイムがいないと不幸になると思わせる！」,
【カイム】,
「くっ……」,
俺が愚かだった。,
リサもメルトも牢獄の女……しかもリリウムの娘だった。,
不幸も辛さも苦しみも、糧に替えて生きる女たちだ。,
【カイム】,
「よくも俺を騙しやがったな。いつからだ。どこからが嘘だ」,
【リサ】,
「全部本当だよ。カイム、大好き。さ、続きしよう！　もっと口づけして！」,
【カイム】,
「出て行け！　今すぐ出て行け！」,
俺はリサを追い出した。,
まったく……ふざけた奴だ。,
だが、ある意味貴重な存在だ。,
あいつといるとここが牢獄だってことを忘れさせてくれる。,
もしも何年も経って、本当にリサの年季が明けていなかったら……,
その時は身請けしてやってもいいかと思う。,
もちろん、思い切り買い叩いてだが。,
そうして、,
よく晴れた日に、布団を干させるのだ。,
今度リリウムの娘が一人、身請けされることになった。,
一般にはめでたいことだ。,
しかし、ジークの立場からすると手放しで喜べなくなる。,
【ジーク】,
「身請けする相手の素性を良く知っておきたい」,
そうして、俺に男の身辺調査という仕事が回ってきた。,
まずは、経済状況を調べる必要がある。,
本当に身請け金が払えるのか、払った後で女を養っていけるのか。,
女の転売などされたら、たまったものではない。,
続いて家族関係や友人関係、背後関係の有無など。,
望まれての身請けかどうか見極めるのはもちろん、例えば男が<ふうしょう>風錆|の残党だったりすると──,
身請けに乗じた営業の妨害に繋がる怖れもある。,
考え過ぎと言ってしまえばそれまでだが、少しでも可能性があるなら考慮しなければならない。,
因果な商売だと思う。,
──数日、朝から晩までじっくりと相手の男を調べた。,
結果は白。,
ジークの懸念は幸いなことに杞憂に終わったわけだ。,
これでジークも、枕を高くして眠れるだろう。,
コンコン,
【カイム】,
「ジーク、いるか？」,
ノックをしてから、扉を開ける。,
中には誰もいなかった。,
【カイム】,
「なんだ、留守か」,
別に珍しいことではないので、俺はそのまま待たせて貰うことにした。,
部屋の中央にしつらえてある、長椅子に腰を下ろす。,
長椅子は皮張で、中には上等な羽毛がぎっしりと詰まっている。,
それに身を委ねると、ここ数日の疲れがどっと湧いて出てしまった。,
思えば、ここ数日はほとんど寝ていない。,
【カイム】,
「ん……」,
目を閉じると、恐ろしい速度で睡魔が襲いかかってくる。,
安全面で言えば、ジークの部屋は牢獄で一番だ。,
その油断も手伝ってか、俺はいとも容易く睡魔に絡め取られてしまった。,
どのぐらい眠っていただろう。,
妙な感触を覚え、俺は意識を呼び戻された。,
ん？,
なんだ……？,
覚醒しきらない頭で、奇妙な感触の正体を探る。,
柔らかい何かが押し付けられている？,
まさか……,
目を開ける。,
【カイム】,
「っっ！？」,
目の前にはアイリスがいた。,
【アイリス】,
「……」,
いや、アイリスがいるのは当然だ。ここはリリウムなのだから。,
ただそのアイリスの身体が押しつけられていた。,
【カイム】,
「なっ！？」,
【アイリス】,
「起きた」,
【カイム】,
「何をしている」,
油断していたとはいえ、ここまで目を覚まさなかったとは情けない。,
アイリスは、いつものつまらなさそうな視線で俺を見下ろしている。,
【カイム】,
「む……」,
ある程度慣れなければわからないが、アイリスはこう見えて感情表現が豊かだったりする。,
リサには負けるが、それでもクローディアよりは余程わかりやすい。,
今のアイリスは……無意味な悪戯を仕掛けようとしているだけには見えない。,
【アイリス】,
「カイムに相談したいことがある」,
【カイム】,
「相談？」,
【アイリス】,
「聞いてくれる？」,
【カイム】,
「聞いてやるから、取りあえずどけ」,
【アイリス】,
「…………いや」,
【カイム】,
「何言ってる」,
【アイリス】,
「少し、楽しくなってきた」,
【カイム】,
「馬鹿かお前」,
さすがに、声が尖ってしまった。,
しかしアイリスは全く怯まない。,
【カイム】,
「お前は、相談相手にのしかかるのか」,
【アイリス】,
「普段は乗らない」,
【カイム】,
「じゃあどけ」,
【アイリス】,
「これは特別」,
【アイリス】,
「事情がある」,
【カイム】,
「……」,
簡単に降りる気が無いことはわかった。,
【カイム】,
「相談は聞くから、ともかく降りろ」,
アイリスがこんなことをするのだ。,
重要な用件なのだろう。,
【アイリス】,
「わかった」,
不本意そうではあるが、アイリスは納得してくれた。,
背中に冷たい汗が流れるのを感じつつ、アイリスが口を開くのを待つ。,
【アイリス】,
「お金が欲しい」,
【カイム】,
「金？」,
【アイリス】,
「そう」,
意外だ。,
アイリスは、金に執着がないと思っていた。,
【カイム】,
「いくらだ？」,
【アイリス】,
「金貨２枚」,
【カイム】,
「結構な額だな」,
三人娘を連れてヴィノレタで豪遊しても釣りが来る。,
【カイム】,
「何に使うつもりだ？」,
【アイリス】,
「ほしい物が、ある」,
【カイム】,
「太い客にでも頼め」,
【アイリス】,
「…………」,
アイリスが黙る。,
何か厄介なことに巻きこまれたのだろうか。,
【カイム】,
「相談と、俺の上に乗りかかった関係は？」,
【アイリス】,
「わたしはリリウムの女だから、こういうことしかできない」,
【カイム】,
「は？」,
【アイリス】,
「お金を稼ごうと思った」,
【カイム】,
「つまり俺は客で、金貨２枚はその代価か」,
【アイリス】,
「そう」,
【カイム】,
「なら初めからそう言え」,
【アイリス】,
「ごめん」,
素直に謝るアイリス。,
【アイリス】,
「本当は、確認だけのつもりだった」,
【カイム】,
「何の確認だ」,
【アイリス】,
「カイムが女に興味のない役立たずだったら、相談のしようが無いから」,
【カイム】,
「阿呆か」,
誘いを断ったとき、アイリスはよく役立たずと罵ってきた。,
まさか、本心から言っていたとは。,
【カイム】,
「で、結果は？」,
【アイリス】,
「良い反応」,
【アイリス】,
「それで楽しくなった」,
【アイリス】,
「金貨２枚は高いけど、その分頑張る」,
アイリスが、もう一度抱きついてくる。,
【カイム】,
「……」,
当たり前だがリリウムで勝手な商売は固く禁じられている。,
禁を犯してまで、アイリスが金を欲しがる理由は何だろうか。,
アイリスの目を見ると、いつもの厭世的な濁りは薄れ、遠くを見据えている。,
【カイム】,
「稼ぎたいならリリウムを通せ。それが決まりだ」,
【アイリス】,
「そんなこと、わかってる」,
【カイム】,
「じゃあ何でだ？　ジークに知られたら、俺もお前もただじゃ済まない」,
【アイリス】,
「……役立たず」,
【カイム】,
「特別な事情って何だ？」,
【アイリス】,
「…………」,
突き放すのは簡単だ。だが、どんな事情があるにせよ、金のためにアイリスはリリウムの禁を犯そうとしている。,
【カイム】,
「金貨２枚だったな」,
【アイリス】,
「うん」,
【カイム】,
「お前には悪いが勝手に客になるわけにはいかない」,
【アイリス】,
「…………」,
俺はジークの部屋にあったチェス盤を広げ、その横に金貨を２枚置いた。,
【カイム】,
「だがチェスで賭けるなら問題ないだろう」,
【アイリス】,
「わたしが負けたら？」,
【カイム】,
「考えてなかった」,
【アイリス】,
「その時は……わたしを好きにしていい」,
【カイム】,
「やめてくれ。店の女に手を出したらジークに殺される」,
【アイリス】,
「わざと負けるつもり？」,
図星だ――アイリスに金を渡し、使い途をつきとめるつもりだった。,
【カイム】,
「そうだな……俺が勝ったら俺に対する暴言を止めてもらおう」,
【アイリス】,
「暴言？」,
【カイム】,
「役立たずとか変態とかだ」,
【アイリス】,
「絶対に負けられない」,
アイリスは俄然やる気を出して、チェス盤の前に座った。,
【カイム】,
「どれだけ俺を罵りたいんだ」,
【アイリス】,
「あれは、生き甲斐」,
【カイム】,
「変態はどっちだ」,
【アイリス】,
「カイム」,
【アイリス】,
「女よりチェスが好きな真性のド変態」,
【カイム】,
「二度とそんな口利けないようにしてやる」,
こうしてアイリスとの勝負が始まった。,
手合わせをするのは初めてだが、アイリスが強いとは聞いていた。,
没落したとはいえ貴族の生まれだ。,
嗜みとして一通り学んでいるだろう。,
その上、表情一つ変えず棘のある言葉を発する性格からして、冷静で沈着なチェスを打つと思われた。,
しかし……,
【カイム】,
「先手を譲った割りにミスが多いな」,
【アイリス】,
「これぐらいで丁度いい」,
【カイム】,
「心配事でもあるのか？」,
傍目にも明らかなほどアイリスは盤面に集中できていなかった。,
地力はあり、手の先読みもかなりできるのだが、かすかに読み違いが起きている。,
その僅かな差で俺の白駒が圧倒し、アイリスの黒駒は防戦一方だった。,
【カイム】,
「アイリス、知っているか」,
俺は戦略を変えた。,
【カイム】,
「今度、リリウムから身請けされる女がいたな」,
【アイリス】,
「…………」,
アイリスは俺の世間話を無視して、チェスに没頭した。,
いや、没頭した振りをしている。,
【カイム】,
「知り合いか？」,
【アイリス】,
「…………」,
アイリスは無言で黒の駒を動かすが、あまりにも酷い手だ。,
こんな状態の相手では負けるのも難しい。,
こちらが余程の失敗を繰り返さなければならず、そこまでしたら動揺しているアイリスにもバレてしまうだろう。,
【アイリス】,
「カイム、手番」,
さて、どうしたものか。,
この状態のまま終盤戦に入れば、遠からず俺は勝ってしまう。,
アイリスが何故これほどまでに金を必要としている理由も掴めないままだ。,
【アイリス】,
「長考する局面じゃない」,
【カイム】,
「わかっている」,
俺は手を進めた。,
十数手先にはチェックメイトだろうと思われた。,
【カイム】,
「なあ、アイリス」,
【アイリス】,
「なに？」,
【カイム】,
「勝った時の条件を替えてもいいか」,
【アイリス】,
「もう勝った気でいる」,
【カイム】,
「俺の聞くことに何でも素直に答える、ってのはどうだ」,
【アイリス】,
「別に構わない。わたしが勝つから」,
【カイム】,
「もう時間の問題だ」,
【アイリス】,
「逆転する」,
【カイム】,
「この状態からか？」,
アイリスは追いつめられ、包囲されつつある。,
どう考えても逃げる術はない。,
【アイリス】,
「…………」,
アイリスは押し黙って盤面を見つめている。,
いくら見つめても逃げられるはずがない。,
盤の外にでも出ない限りは……アイリスは籠の鳥だ。,
【カイム】,
「……もう詰んでる」,
【アイリス】,
「手はある」,
そう、アイリスは最初から詰んでいる。,
リリウムという盤面から逃れる手はない。,
俺も同じだ。牢獄という盤面から逃れる術はない。,
【カイム】,
「いい勝負だった。金貨２枚に値する」,
【アイリス】,
「同情ならいらない。勝つ手はあるから」,
アイリスの強がりが哀しかった。,
【アイリス】,
「……」,
突然、アイリスが部屋の扉を見た。,
【カイム】,
「どうした？」,
【アイリス】,
「し……」,
アイリスが突然、口元に指をあてた。,
同時に耳を廊下に向けてそばだてる。,
【カイム】,
「足音だな」,
【アイリス】,
「ボスが戻って来た」,
【カイム】,
「それは……まずい」,
店の女と二人きりで部屋にいた事を誤解されたら制裁が下る。,
俺にも、アイリスにも。,
【ジーク】,
「お、カイム、来てたのか」,
【カイム】,
「ああ、勝手に入って悪かった」,
【ジーク】,
「待たせたか」,
【ジーク】,
「……ん？　どうしてアイリスがいる？」,
ジークの目がすっと鋭い輝きを見せる。,
不蝕金鎖の部下が震え上がる眼差しだ。,
【アイリス】,
「……ん」,
アイリスが、机の上の葉巻入れから葉巻を取り出し、ジークに咥えさせ火をつける。,
【ジーク】,
「気がきくのはいいが」,
アイリスが目立つところにチェス盤を移動させていた。,
テーブルの上の金貨も素速く隠したようだ。,
【カイム】,
「お前が来るまで、チェスの相手をさせていた」,
【カイム】,
「夜まで客がいないって話だったんでな」,
【ジーク】,
「ほう？」,
ジークが盤面を見る。,
【ジーク】,
「アイリスの圧勝じゃないか」,
【アイリス】,
「カイムは弱くて相手にならない」,
……やられた。,
アイリスの手で盤面が逆に入れ替えられていた。,
アイリスが粘って見つけた逆転の一手はこれか。,
あるいはジークが帰ってくることを計算に入れていたのか。,
そのために、わざと負けを急いで……いや、そんな筈は……,
どこからがアイリスの手だったのか、俺にはわからなかった。,
【ジーク】,
「なるほど」,
ニヤニヤ笑いながら、美味そうに煙を吐き出すジーク。,
【ジーク】,
「さすがのカイムも、アイリスにはかなわないか」,
【カイム】,
「ああ……全くだ」,
心からそう思った。,
【ジーク】,
「で、ここに来たってことは例の件の目処がついたんだな？」,
【カイム】,
「結果の報告だ」,
そこまで言って、俺はアイリスを見る。,
【ジーク】,
「構わんよ、アイリスは口が堅い」,
一つ頷き、ジークに仕事の経過を報告する。,
【カイム】,
「結論から言うと問題ない」,
【カイム】,
「経済状況、人間関係ともに真っ白だ」,
【ジーク】,
「なら良かった」,
ジークは安堵したように、葉巻の煙を吐きだした。,
【ジーク】,
「また今度、１杯おごらせてくれ」,
【カイム】,
「ああ」,
【カイム】,
「なら、これで依頼は完了だ」,
席を立つ。,
【カイム】,
「ん……？」,
立ち上がった俺の手を、アイリスが握った。,
【アイリス】,
「ボス、わたし、カイムを送っていく」,
【ジーク】,
「お前が散歩に出たいだけだろう？」,
【アイリス】,
「ふふ、そう」,
【ジーク】,
「はは、素直でよろしい」,
【ジーク】,
「このところ働きづめだったし、カイムが気にしないなら外出を許可しよう」,
少しの間考える。,
一応最後まで見届けた方がいいだろう。,
【カイム】,
「なら、お言葉に甘えようか」,
外に出たアイリスは、俺の方を一度も振り返らずに歩いた。,
しかも、『俺を送る』などと言っておきながら、進行方向は俺の家とは逆だ。,
路地の外れの方まで来て、ようやくアイリスは立ち止まった。,
立ち止まった場所には１軒の店があった。,
見たところ、質屋と宝飾店を兼ねているようだが。,
アイリスは、<ちゅうちょ>躊躇|なく入口の扉を開けると、店主と思しき中年を呼び出した。,
【店主】,
「なんだね嬢ちゃん。出張なら頼んだ覚えはねぇぜ」,
【アイリス】,
「これ、買いたい」,
アイリスは、店の入り口付近を指差す。,
そこには、金色に輝くネックレスが飾られていた。,
店主が、怪訝な表情でアイリスを見る。,
【店主】,
「あんた、金はあるのか？」,
【アイリス】,
「これで足りるはず」,
アイリスが取り出したのは、俺からせしめた金貨２枚だった。,
【アイリス】,
「不満？」,
【店主】,
「盗んだ金じゃねぇだろうな？」,
【アイリス】,
「……」,
アイリスは、黙って金を突きつける。,
店主は受け取ろうとしない。,
【カイム】,
「そいつが自分で稼いだ金だ、俺が保証する」,
【店主】,
「ま、ならいいだろう」,
店主はアイリスから金を受け取り、ネックレスを手渡した。,
受けとったネックレスを、アイリスが金貨よりも大事そうに抱え込んだ。,
リリウムへの帰途。,
【カイム】,
「それが欲しかったのか？」,
【カイム】,
「俺に頼まなくても、贔屓客に頼めば買ってもらえるだろう」,
【アイリス】,
「わたしが身につけるわけじゃない」,
アイリスが素っ気なく言う。,
客に買ってもらったものではなく、自分で稼いだお金で買いたかったのだろう。,
アイリスは、無言で歩き続ける。,
【アイリス】,
「カイム」,
不意にアイリスが口を開いた。,
【アイリス】,
「身請け先の男は、本当に問題無かった？」,
【カイム】,
「あ？」,
【アイリス】,
「さっきボスとしていた話」,
【カイム】,
「問題なかった」,
【カイム】,
「近年稀にみるぐらいの好条件だ」,
【アイリス】,
「女の子は幸せになれそう？」,
それはわからない。,
だが、暗いことは言わないでおこう。,
【カイム】,
「俺が保証する」,
【アイリス】,
「良かった……」,
アイリスが初めて、表情を緩めた。,
もう一度ネックレスを胸に抱く。,
……やはりか。,
俺が調べた身請けされる娘は上層から売られてきた女だった。,
上層では、貴族の家に仕えていた召使いだったらしい。,
そして……,
アイリスは、没落した貴族の娘だ。,
もしかしたら、女はアイリスの家に雇われていたのかもしれない。,
【カイム】,
「……」,
身請けされる女は、顔を見たことがある程度で、話したことはない。,
ただ、アイリスが幸せを祈るような女なのだ。,
きっと、良い娘なのだろう。,
リリウムが見えてきた。,
アイリスの足が速まる。,
【カイム】,
「アイリス」,
【アイリス】,
「ん？」,
【カイム】,
「また金が必要になったら遠慮なく言え」,
【アイリス】,
「わたしを気に入った？」,
皮肉っぽい笑みを浮かべるアイリス。,
【カイム】,
「そうだな」,
皮肉のないアイリスの笑みが見られるのなら……,
金貨２枚も高くはないと思った。,
【ティア】,
「いらっしゃいませ」,
【メルト】,
「あらカイム」,
【カイム】,
「よう」,
いつものように出迎えてくれるメルトとティア。,
カウンターではエリスが茶を飲んでいた。,
その隣に座る。,
【カイム】,
「どうした、三人で顔をつきあわせて」,
【メルト】,
「お店を盛り上げるネタはないかなーって話をしててね」,
【カイム】,
「十分繁盛してるだろ」,
【エリス】,
「もっと上を目指したいんだって」,
【カイム】,
「ほう」,
【カイム】,
「で、何か考えついたか？」,
【ティア】,
「もちろんです」,
ティアが満面の笑顔で答える。,
【カイム】,
「一応聞いておこう」,
【ティア】,
「期待してませんね」,
【カイム】,
「ああ」,
【ティア】,
「はっきり言われると寂しいです」,
ティアがしょぼくれる。,
【カイム】,
「で？」,
【ティア】,
「はい、これです！」,
ティアが自信満々に皿を出した。,
載っているのは、一口大のパンが３つだ。,
【ティア】,
「一つだけ、すっごく辛いのがあるんです」,
【ティア】,
「お酒を飲んでいる時に食べたら楽しいと思うんですが」,
【エリス】,
「つまんない」,
【ティア】,
「そ、そうでしょうか」,
【カイム】,
「目新しさはないな」,
【ティア】,
「うう……」,
【メルト】,
「まあまあ、カイムも来たことだし試してみましょうよ」,
【カイム】,
「俺も付き合うのか？」,
【メルト】,
