とぼけた顔をしているが、その手は腰に伸びている。,少年虽然做出装糊涂的表情，但他的手却不自觉地伸向了腰际。,少年虽装傻，但手却不自觉伸向腰间。
「殺すか？」,「要把我杀掉吗？」,
「殺すほどの価値もない」,「你就连被杀掉的价值都没有」,
「きれいさっぱり忘れるさ」,「我会潇洒地把你忘得一干二净」,
ジークが踵を返した。,说罢，吉克便转身走去。,
……自分の足か。,……自己的双脚吗。,
要するに、自分の考えを持っていないといった類のことを言いたかったのだろう。,他主要想说的，应该是我放弃去自己思考，而变成了单纯随着大势，而漫无目的地去奔走的那类人吧。,
平和な時ならいいが、今は状況が切迫している。,和平的时候倒也罢了，现在我们面临着非常紧急的状况。,
自分の足で立つのは勝手だが、こっちは立つための地面が消えるか消えないかの話をしているのだ。,我不是不想用自己的双脚去立足于世，但在这之前，如果让我们立足的这个世界消失的话，那一切都只会变成一纸的空谈。,
そう考えながらも、胸には拭いきれない曇りが残った。,只是，我虽然能够这样思考，却无法抹去自己内心的阴霾。,
詰め所に戻る。,我回到了看守所。,
「自分で選んだ道だ、後悔などない」,「这是我自己所选择的道路，没什么好后悔的」,
「それに、後悔すれば、私の命令で民を攻撃した部下が可哀想だ」,「而且，如果后悔的话，那些遵照我的命令而去攻击民众的部下就太可怜了」,
「……と、言いたいところだが、正直わからない」,「……虽然我想这么说，但是说实话，我也不是很清楚」,
「この都市は昔から牢獄には厳しい」,「这座都市从以前开始就对牢狱很过分了」,
国王直々とは恐れ多い。,被国王直接召见，还真是让我不胜荣幸。,
「入るぞ」,「我进来了哦」,
「カイム、待ちかねた」,「凯伊姆，你让我好等啊」,
牢獄では定番中の定番だが、上層では入手困難だろう。,这在牢狱虽说是司空见惯的东西，不过在上层应该很难弄到手吧。,
「大切に飲めよ」,「你可要珍重点喝哦」,
ラッパ飲みした。,我直接对嘴喝了起来。,
「こんな日に、ちまちま飲めるか」,「你觉得在这种日子里，我还能小口小口地喝吗？」,
「暴動は無事鎮圧された」,「暴动被顺利地镇压下来，关所也已经被守卫住了」,
「当然出た」,「当然出现了」,
召使いが部屋に入る前に、大声で命じた。,然后，在佣人走进房间之前，便大声地下了命令。,
ま、もう現実に起きてしまったことだし、他に衝突を回避する方法があったわけでもない。,但是，事实上已经发生的事情也无法更改。更重要的是，本来就没有什么其它能够避免冲突的方法。,
仕方のないことだ。,这也是无可奈何的事。,
「遅い！」,「太慢了！」,
「言い訳はよい、座れ」,「用不着找借口了，坐下」,
ルキウスが俺の隣に座る。,鲁基乌斯在我旁边坐了下来。,
リシアは対面のソファに座ろうとしたが、やはりやめて、また部屋を歩きだす。,莉西亚刚想坐在我们对面的沙发上，就马上又放弃了这一举动，重新在房间里走了起来。,
「守備隊からの速報では、損害軽微とのことでした」,「从守卫队那里传来的速报上来看，损害似乎很轻微的样子」,
「それはカイムから聞いた」,「那个我已经从凯伊姆那里听说了」,
勢い込んで言って、そこで唾を飲みこむ。,莉西亚咽了口唾液，酝酿着暴风雨前的宁静。,
「ではなぜ武力鎮圧した？」,「那么，为什么要采取武力镇压？」,
「言い訳はいらん」,「我想听的不是借口」,
「俺は現場にいたが、あの場合、応戦は仕方がない」,「当时我也在现场，在那个场合下，迎战也是无可奈何之举」,
「説得できる状況ではなかった」,「那些疯狂的民众已经没有办法被说服了」,
「無茶な命令をする方が悪い」,「我是看这个乱来的命令很不爽」,
「ご立派な理想を掲げるのは勝手だが、苦労するのは現場だぞ」,「想要高谈伟大的理想是很轻松，但辛苦的却是身处现场的那些人」,
「王が無茶な命令をしてきてもか」,「就算国王所下的命令毫无道理可言吗？」,
ルキウスが突然リシアに水を向ける。,鲁基乌斯突然把话题导向了莉西亚身上。,
「暴動の事後対応がございますので」,「我还要去对这场暴动进行事后的处理」,
小さく礼をして扉へと向かう。,微微地鞠了一躬后，便向门的方向走去。,
一瞬硬直したルキウスが、リシアに向き直る。,鲁基乌斯的身体先是一僵，随即便向莉西亚转了过去。,
「何か？」,「什么事？」,
「さっきの質問の意図は何だ？」,「你刚才问那个问题有什么意图？」,
「答えは、立場によって違う」,「这个答案，会根据立场的不同而变得不同」,
「それぞれの考え方で答えが変わってくる」,「每个人的答案都会因为自己的思考方式而变得各不相同」,
不敵に笑ってリシアは即答した。,莉西亚露出爽朗的笑容，毫不犹豫地给出了回答。,
その笑顔に、なぜかジークの顔が重なる。,不知为何，她的这份笑容和吉克的面孔重合到了一起。,
「俺が牢獄育ちだからか？」,「因为我是在牢狱被养大的吗？」,
「感傷的なことだ」,「你还真是多愁善感啊」,
席を立つ。,我站了起来。,
「関所を守ったのは、フィオネという女が率いる兵士たちだ」,「守卫关所的人，是一名叫做菲奥奈的女性，以及她麾下的士兵」,
「休養なら、あいつらにあげてやってくれ」,「你要有这份心思的话，就去让她们好好休息休息吧」,
「待て、一つ頼みがある」,「等等，我有件事要拜托你」,
「何だ？」,「什么事？」,
「その可能性がある」,「我只是在说这种可能性」,
リシアの表情がわずかに曇る。,莉西亚的表情微微地变得阴沉下来。,
「暴動については、私と奴は方針が違う」,「在暴动这一点上，我和他的方针是不同的」,
「口ではああいっているが、あいつは簡単に武力を用いる」,「那家伙虽然嘴上答应得好好的，但一到实际中，就会很轻易地使用武力」,
「私は無力な王だ」,「我是个没用的国王」,
「口先だけの理想論なら困ったものだが、陛下には決意があるようにお見受けしている」,「如果只是口头上抱持着理想的空谈倒是会让人很困扰，但我能够看到陛下所抱持着的强烈决心」,
まるで、俺たちの話を聞いていたかのような言葉だ。,鲁基乌斯所说的这些话，就好像听到了我们的对话一样。,
「短い間に、ご立派になられたと思う」,「我认为，陛下在这段很短的时间内，就已经变得非常了不起了」,
戴冠してからリシアは変わった。,自从加冕以后，莉西亚发生了改变。,
「本日の暴動の件です」,「是关于今天的这场暴动」,
妥当だが、釈然としない。,虽然这是很合适的做法，但我却无法释然。,
「話はそれだけか？」,「要说的话就这些吗？」,
ルキウスが頷く。,鲁基乌斯点了点头。,
ルキウスたちと別れる。,我向两人告别后，转身离去。,
悲鳴と絶叫、血の匂い──,悲鸣，惨叫，还有鲜血的气味――,
握った弓矢の感触──,握在手中的弓弦的感触――,
ジークの言葉──,还有，吉克的那些话――,
いくら念じても胸は晴れない。,但是不管怎么想，内心都无法释然。,
朝日が目に入った。,清晨的阳光映入眼帘。,
「先程まで働きづめだよ」,「我直到刚才为止可是都在工作哦」,
「少し大きな実験をするらしいので見に来たのだ」,「接下来好像要做一个比较大规模的实验，所以我过来看看情况」,
「大きな実験？」,「大规模的实验？」,
硝子の奥が光った。,玻璃房内部闪现出光芒。,
見慣れた浄化の光だ。,这是我已经看惯了的净化之光。,
奥に進む。,我走进玻璃房里面。,
声を失った。,我发不出声音。,
「ここで、先日と同じ議論をする気はない」,「我不想在这里与你再来一次和前几天相同的争论」,
悲鳴が聞こえても、ルキウスとシスティナは動かない。,即便听到缇娅的悲鸣声，鲁基乌斯和西斯狄娜也是一动不动。,
まるで音楽でも聴くように立っているだけだ。,站在那里的他们，看上去就仿佛在听着某种音乐一般。,
「不必要な苦痛など絶対に与えない」,「我们绝对不会给她带来不必要的痛苦」,
都市のためなのだ。,是为了都市而去做的。,
あいつを売った俺が、か？,由这个将她出卖的我，来做吗？,
何も考えずに城を出た。,冲出王城，大脑一片空白。,
あいつが苦しんでいるにもかかわらず、俺は無力だ。,我实在是太过无力，无法分担那家伙哪怕是一丝的痛苦。,
路傍の柵に座った。,我瘫坐在路旁的栅栏边。,
単に、ティアの悲鳴を牢獄の喧騒で塗り潰したいだけだと気づきつつも、足は止められない。,我头也不回地走向牢狱，强迫自己不去注意，自己只是想用牢狱的嘈杂的喧嚣掩盖缇娅痛苦的悲鸣的这个现实。,
行動していないと、重いものに押し潰されそうだった。,如果不去做些什么的话，我说不定会被内心的这份沉重所压垮。,
牢獄を囲む崖の上からは、昨日の崖崩れの被害状況が一望できた。,站在牢狱周围的悬崖边上，昨天悬崖的崩塌而导致的受害情况一目了然。,
被害地域を人間らしき点が動いているが、数は少ない。,虽然在受害的地域上有几个人形的小点再动，但是数量却很少。,
引き取り手のない遺体が、腐り始めているのだ。,没有被人带走的那些遗体，都已经开始变得腐烂起来。,
少し歩き、野外診療所に到着した。,我走了一会后，来到了户外的诊疗所。,
相変わらず患者で溢れているが、妙に静かだ。,虽然这里仍旧满地都是患者，但却有种微妙的安静。,
エリスを天幕の外に促す。,我招了招手，示意艾莉斯出来。,
「何の用？」,「有什么事？」,
「状況を見に来た」,「我是来看看情况的」,
「お陰様で、ずいぶんお客様が増えたわ」,「托你们的福，我的客人可是着实增加了不少呢」,
「でも、上層の人間が作った怪我人を、上層からの薬で治療させるってのはどういう冗談？」,「不过，那些因为上层的人而受伤的人们，却要用上层派下来的药物去治疗，这算哪门子的玩笑？」,
エリスが笑う。,艾莉斯笑了起来。,
「崖崩れの被害はどうだ？」,「悬崖崩塌造成的受害情况怎样？」,
コレットの代の崩落以降、先頭に立って救助や復興に尽力してきた不蝕金鎖ですら疲れているのだ。,自从柯蕾特那一代的崩落以来，总是站在最前方进行救助和重建的不蚀金锁，这次都已经心有余而力不足。,
牢獄民の心は、疲労と諦めで折れてしまったのだろう。,那些一般的牢狱民众，估计心里就只剩下疲劳和挫败感了吧。,
エリスが天幕を顎で指す。,艾莉斯仰脖示意着帐篷里面。,
「そ、黙って寝ているだけ」,「没错，他们都只是在闭着嘴睡觉」,
「口を開いても愚痴か嫌な話しか出ないから、みんな話さなくなっていくの」,「只要一张嘴，就只能说出些没人爱听的愚昧的话，所以大家都已经学会了闭口不言」,
「暴動のせいか？」,「是暴动的缘故吗？」,
「暴動が潰されたことも大きいけど、まあいろいろ重なってる」,「虽然暴动被镇压也是个很重要的要素，不过还有更加重要的原因」,
「前に話したでしょ、黒い霧の噂」,「我之前跟你说过吧，那个黑雾的传言」,
「なんでも、霧が黒い塊になって襲ってくるらしいわ」,「据说，好像是雾结成了黑色的泥块去袭击人类什么的呢」,
「そんな生き物いるわけないのに、真に受けてる人が多いみたい」,「那种生物明明是不可能存在的，但好像有很多人都把这个说法当成了事实」,
「気持ちが弱っていて、悲観的な噂を信じやすくなってるのね」,「人只要内心软弱下来之后，就会变得悲观，而去轻易地相信那些传闻呢」,
何とかしてやりたいが、頼みの綱のティアはあの調子だ。,虽说我也想多少做些什么，但唯一能够依靠的缇娅，现在却是那种状态。,
残念だが、今後も被害は増え続けるだろう。,虽然很遗憾，但今后的受害者也会继续增多吧。,
「噂と言えば、最近は救世主って話も出てるわ」,「说起传言来，最近好像也出现了救世主的说法呢」,
「あとは、街のどこかに救世主がいて、その人の祝福を受けると羽化病ですら治るって話もあるわね」,「接下来，就是街道上的某处存在着一个救世主，只要接受那个人的祝福，甚至就连羽化病都可以被治好之类的」,
「ま、この状況じゃ救世主の登場を夢見るのも仕方ないな」,「嘛，在现在这种情况下，会做梦梦见救世主的登场也是很正常的呢」,
苦笑して聞き流したが、気になる点もあった。,我虽然苦笑着装作把她的话当成了耳边风，但心里却在注意着某个地方。,
救世主をティアとすれば、大筋事実と合っている。,如果把救世主看成是缇娅的话，这个说法基本就和事实相吻合了。,
「そんな機会があるかわからんが、次に会ったときお前が今のままなら……」,「虽然不知道还会不会有这种机会，但如果下次咱们见面的时候，你还是现在这副样子的话……」,
「殺すか？」,「要把我杀掉吗？」,
「殺すほどの価値もない」,「你就连被杀掉的价值都没有」,
「きれいさっぱり忘れるさ」,「我会潇洒地把你忘得一干二净」,
……自分の足で立つ、か。,……用自己的双脚立足于世，么。,
昨日は反発したが、今は自信がない。,虽然昨天我对他作出了反驳，但我现在却并没有这种自信。,
ルキウスやジークのような権力や、エリスのような医療技術があったら、何かできることもあるかもしれない。,如果拥有像鲁基乌斯或者吉克所掌握着的权力，又或是像艾莉斯那样有着高超的医疗技术的话，我多少应该还能去做些什么。,
思わず口を突いて出た。,我不自觉地将心中所想的事情说出了口。,
「悪いけど、頭の病気は専門外だから」,「抱歉，脑袋的毛病可不在我的专业范围之内」,
怪訝な目で見られた。,艾莉斯用惊讶的目光看着我。,
「相談相手が悪かったらしい」,「我主要是在嫌陪我说话的这个人太差劲」,
「で、どうなんだ？」,「那么，你的答案呢？」,
駄目だ、今の俺は。,现在的我，还真是没用啊。,
「難しいこと考えるの苦手だし、その時思った通りにやるだけ」,「我不擅长考虑什么复杂的事情，所以就去专心地瞅准一个目标做下去而已」,
俺の気づかぬ間に、エリスは随分と身軽で自由な心を手に入れていたようだ。,在我所不曾注意到的时候，艾莉斯已经变得十分无拘无束，并且开始向往起了自由。,
エリスが、俺に刃物を向けたときのことか。,艾莉斯所指的，应该是自己将刀尖对准我的那个时候吧。,
「何か悩んでるみたいだけど、カイムも自分の好きに生きたら？」,「虽然我不知道你在烦恼些什么，不过你就照着自己的想法去做如何？」,
「できれば苦労しない」,「能做到的话，我也就不会这么辛苦了」,
仕事は山ほどあったし、辛い生活を理由に人生について考えずに済んだ。,做着堆积如山的工作，让自己没有时间去考虑自己为何会面对这如此艰苦的人生。,
それも、処刑前、最後のチェスをした時だ。,而在处刑之前，我们下着最后的那盘棋时也是。,
牢獄を離れて上層に移ったが、俺は前に進めたのだろうか。,虽然我已经离开牢狱而去到了上层，但是，我真的已经向前走去了吗。,
「カイムの話だから付き合っただけ」,「因为你是凯伊姆，所以我才会对你说这些话」,
独り立ちしたのだ。,已经能够独立地，活在这个世上了。,
エリスと別れる。,我挥手向艾莉斯道别。,
少し歩いてから、もうエリスとは会えないような気もした。,走出不久之后，我注意到，自己可能今生都不会再和艾莉斯相见。,
湿っぽいやりとりをしている俺達は、いまいちピンとこなかった。,曾经共同走过那么纠结的一段人生的我们，在已经相视一笑的如今，没有了再对彼此恋恋不舍的必要。,
「カイムだ、いるか」,「我是凯伊姆，有人在家吗？」,
すぐに、爽やかな香りの茶が運ばれた。,不久之后，便将带着爽朗香味的浓茶端了上来。,
まあ、こいつが言う天使の話は、他の聖職者とは違って馬鹿にならないが。,不过，这家伙所说的天使的言论，倒是不能拿来和其他圣职者的说法一样等闲视之就是了。,
嘘を見抜かれたかもしれない。,我的谎话说不定已经被她给看穿了。,
「何？」,「什么？」,
それを俺に示した。,然后，摊在我的面前。,
「変わった部屋だ」,「真是个奇怪的房间啊」,
驚きが顔に出ないように努める。,我努力地不让自己露出震惊的表情。,
茶を飲み、人心地つく。,我喝着茶，总算冷静了下来。,
「やはり地震が心配です」,「大家果然都在担心着地震」,
「夜寝ていても、少し家が揺れただけで目が覚めてしまいます」,「在晚上睡觉的时候，即使房子只是略微地发生晃动，都会让我们醒过来」,
「自分の行く先を決めろって話だ」,「你不是说过么，要我向前迈进之类的」,
コレットが少し恥ずかしそうにする。,柯蕾特稍微有点害羞地做出恍然大悟的样子。,
にっこりと清楚な笑顔を浮かべる。,柯蕾特的脸上清晰地露出柔和的笑容。,
「黒い怪物を退治する少女のお話です」,「我说的是，少女将黑色的怪物击退的事情」,
「ああ、黒い霧か」,「啊啊，那个黑雾啊」,
「少女は恐らくティアだが、怪物を退治したわけじゃない」,「那个少女大概是缇娅，但她可没有击退过怪物。只是净化了一个长着很大翅膀的男人而已。」,
コレットの表情が輝く。,柯蕾特的脸上闪耀着光芒。,
「さあ、どこまでが事実かわからない」,「大概吧，我也不知道有多少成分是真的」,
「もはや救いになれば何でもいいんだろう」,「反正只要能得救，不管对方是什么都无所谓吧」,
それに微笑みで返すコレット。,而柯蕾特则用一个微笑回应了她。,
仲の良い姉妹のような姿だ。,她们看上去，完全就是一对要好的姐妹。,
「もうですか？」,「您这就要走吗？」,
コレットが慌てる。,柯蕾特慌张地否认着。,
「ラヴィ、早く竪琴を」,「拉菲，快把竖琴拿过来」,
そう思いつつも身体が動かない。,脑中虽然这样想着，身体却没有动。,
今までになかった感覚だ。,这份感觉，我之前从来都没有感受到过。,
俺達が進んでいる道は正しい。,我们所走上的，是一条正确的道路。,
だが、道の果てに誰の笑顔も見えてこない。,但是，这条道路的两旁，却看不到任何人的笑容。,
そう自分に言い聞かせ、俺は報告のためにベッドから立ち上がった。,在心里将这句话说给自己听的同时，我从床上站了起来，去向鲁基乌斯报告。,
途中からは頭がぼんやりしてしまって、覚えていない。,在做到一半的时候，脑子里就一片空白，完全没有印象了。,
忘れないように、口の中で何度も何度も繰り返す。,为了不让自己忘掉，我无数次无数次地在口中反复地念叨着。,
それが、カイムさんになる……,而凯伊姆先生，就站在她的身边……,
そう思っているのに、頭が痛くなる。,即使在这样想着的时候，脑袋也还是好痛。,
懐かしい声。,听上去很让人怀念。,
いつも夢に出てきた、あの声だ。,这个声音，在我的梦中曾无数次出现过。,
研究室に立っている太い柱──,矗立在研究室中的那个大柱子――,
その干からびたお姿は全然見えないのに、何故か目が合ったような気がしたのだ。,明明从这里应该完全看不见那干巴巴的样子，但不知为何，那幅景象却仿佛就浮现在我眼前。,
耳が慣れてしまったのか、以前ほどのいたたまれなさは感じない。,或许是已经听惯了这个声音，我的心中没有之前那种无地自容的感觉。,
「……しかし、浄化の力は何度見ても不思議なものです」,「……不过，这种净化的力量不管看几次，都让人觉得很不可思议」,
「だが、人の手が触れた瞬間、天使の力は黒く濁ってしまう」,「但是，只要一被人类的手所碰到，天使的力量便会变成一片黑色的污浊」,
「しかも、まるで意思を持つかのように人を害する」,「而且，还会有如持有自己的意志一般，去对人类产生危害」,
「神の御遣いたる天使を、我がものとしようとする我々への」,「天神为了惩戒将身为其使者的天使擅自占为己有的我们，而降下的天罚」,
「地上に残った最後の天使を捕らえ、浮力にしているのだからな」,「毕竟，我们是靠着将留在地上最后的天使抓起来，才得到这个漂浮之力的」,
どうせ罪人の子孫に生まれたならば、最後まで神への挑戦を続けようではないか。,反正我们已经身为罪人的子孙而被生到了这个世上，何不直到最后一刻，都去挑战天神的权威呢。,
「火を強くしたくても、薪がないか」,「就算想加强火势，也已经没有柴薪了么」,
ならば、都市を支えている天使から力を移すか。,那么，去从支撑着都市的天使那里将力量转移过来呢？,
崩落の危険性が高すぎる。,发生崩落的危险性实在太高。,
何か、他に策はないか？,就没有什么其它的方法吗？,
「危険だが、もう一度やってみるか」,「虽说很危险，不过就再做一次试试看吧」,
「先日、カイムが牢獄へ行ってきたのだが、興味深い報告があった」,「凯伊姆前几天去了趟牢狱，回来的时候向我报告了一件让我很感兴趣的事」,
「下界の粘液は汚染度が高く、記憶にかなり影響があるようですが」,「下界的粘液不仅污染度很高，而且似乎还会对她的记忆产生极大的影响」,
「しかし、前回は飛躍的に覚醒が進んだ」,「不过，上次的经历让她有了飞跃般的觉醒」,
天使の力は残りわずか。,天使的力量已经所剩无几。,
できなければ全てが終わる。,如果做不到的话，一切就都完了。,
「とすれば、今後は粘液の被害が増えるかもしれません」,「那样一来，今后因为那个粘液而出现的受害者或许也会增多」,
気の重い話だ。,西斯狄娜语气沉重地说道。,
思わず、柱の上方を見上げる。,我不由得抬起头来，向柱子的上方看去。,
「もう、決して引かぬと、あの日決めただろう？」,「那一天咱们已经下过决心了吧？无论如何，都绝对不会放弃」,
そういうことは、思っていても言わないものだ。,这种事情，就算脑子里是这么想的，也不应该说出口。,
システィナは優しい女だが、不器用なのが玉に瑕だ。,西斯狄娜虽说很温柔，不过在控制感情这方面还是欠点火候。,
「……ティアさんを見捨てましたか」,「……凯伊姆先生把缇娅小姐给舍弃了吗」,
いや、感傷的になるなど私らしくもない。,但是，像这样去无谓地感伤并不是我的风格。,
ほとんどの国民の知らないところで、一人の少女が苦しみ、流した血と汗が未来の都市を浮かせる。,在几乎所有国民都不知道的地方，一个少女正在痛苦地流着血液和汗水，为了让都市能够继续飘浮而努力着。,
奴隷のように扱われて育ち、,自幼便被像个奴隶一样养育着，,
売り飛ばされ、,然后，又被卖到了店里，,
これでは、苦しむためだけに生まれてきたようなものだ。,这样看来，她出生在这个世上，简直就像是为了去尝尽那人世间的痛苦一样。,
とことん恵まれた奴もいれば、その逆もいる。,既有出生于富贵之乡的纨绔子弟，也有徘徊在穷街陋巷的悲苦穷人。,
嘆いている暇があったら、何かした方がいい。,有哀叹自己的命运不公的时间，还不如去多做点事情养活自己。,
見事なほどに思いつかない。,脑海中完全没有什么像样的答案。,
本当にあいつを守りたいなら、都市を──,如果真的想要守护那家伙，就要有将都市――,
「はい、平気です」,「是的，我没关系的」,
と、答えたけど、怖いに決まっている。,嘴上虽然这么说，内心却难掩自己的恐惧感。,
でも、牢獄の皆さんが困っていると聞いたら断れない。,但是，听说牢狱的大家都深受困扰的时候，我便不能拒绝了。,
研究室に来てくれないのは、やっぱり少し寂しい。,果然，凯伊姆先生不来研究室以后，我稍微有点寂寞。,
もう何日も会っていないし、顔が見たいな。,已经这么多天没有见过他了，好想见他一面呢。,
でも、忙しいなら仕方ないか。,但是，既然他很忙，那也就没办法了。,
カイムさんは優しい人だから。,毕竟，凯伊姆先生是个非常温柔的人。,
「カイムさん宛ですか？」,「是要送到凯伊姆先生那里吗？」,
何だか恥ずかしい。,总觉得有点不好意思。,
顔が赤くなっていくのがわかる。,我知道，自己的脸已经是一片通红。,
怖い。,好害怕。,
怖くて怖くて、死んでしまいそうです。,好害怕好害怕，感觉自己快要被吓死了似的。,
ランタンの火が一つ消える。,一盏灯笼的火光消失在黑夜之中。,
まるで、真っ暗な夜空が下りてきたみたい。,现在的感觉，就好像漆黑一片的夜幕降临了一般。,
何？　今の夢は？,刚才的那个梦是什么？,
私が、許しはしない。,我是，绝对不会原谅的。,
棚から紙と筆記具を取り出す。,然后，从书架上拿出纸张和水笔。,
「さ、記録の準備はできたわ」,「说罢，我已经做好记录的准备了」,
忌まわしい情景を、脳裏から追い払うように。,祈求天神能将那副不详的情景从我的脑海中赶走。,
急ぎ封を切る。,我急忙拆开信封。,
美しいには美しいが、文字の端々に抑えきれない激情が滲んでいる。,不能说这些字迹不美，但在字里行间中所渗透出的难以抑制的激情，却是柯蕾特之前所写过的信中所没有的。,
『突然のお便り失礼します』,『非常抱歉，突然给您写来这封信』,
文字が激情を帯びる。,她的文字中，加载着火热的激情。,
『カイム様』,『凯伊姆大人』,
第一、現状では関所すら通行できないはずだ。,最根本的问题就是，现在这种情况下，她就连关所都通不过去。,
牢獄の絶壁を素手で上ってきてもおかしくない。,就算她要徒手爬上牢狱的悬崖，我都不会觉得奇怪。,
とにかく、事情を聞いて落ち着いてもらわねばならない。,总之，在听到这个消息的如今，我也不能再悠哉地待下去了。,
手紙を懐にしまい、部屋を飛び出す。,我将信纸穿在怀中，自房间里飞奔而出。,
心臓が口から飛び出しそうだ。,感觉心脏好像要从口中蹦出来一样。,
「ご挨拶じゃないか」,「你不觉得自己的说法很失礼吗？」,
「まあ４、５人は通ったが、それだけの情報では特定できん」,「姑且算是有四五个，单凭性别这个信息，我没法做出更详细的判断」,
コレットの外見をざっと説明する。,我大致将柯蕾特的外形向菲奥奈描述了一下。,
「そうか、また何かあったら言ってくれ」,「这样啊。如果还有什么事，就尽管和我说」,
「ああ、その時は頼む」,「啊啊，今后也要拜托你了啊」,
再び走りだす。,我再次跑了起来。,
すぐに、鍵が開く音がした。,不久之后，锁便传来了开启的声音。,
一体どこへ？,究竟去了哪里？,
自力で崖を登ったのでなければ、まだ牢獄にいるはずだ。,如果没有去凭借自己的力量攀登悬崖的话，她们就应该还在牢狱。,
「わーーーお、カイムだカイムだカイムだっ」,「哇―――噢，是凯伊姆啊凯伊姆啊凯伊姆啊！」,
「上層豚が来た」,「上层的猪来了啊」,
「このご時世にしては元気でございますよ」,「在现在这个时代下，我们过得算是很好了哦」,
「全部諦めてるだけ」,「只是彻底放弃挣扎了而已」,
「私でよろしければ、お話くらいは伺いますが」,「您有什么事情的话，能否经由我来向大人转达呢？」,
「……例の聖職者だ」,「……我指的是那两个圣职者」,
「失踪した」,「她们失踪了」,
「生憎と何の噂も聞いてません」,「不巧，我没听到什么相关的传言」,
「仕方ない。毎日忙しいのだろう？」,「这也没办法。你们现在每天都很忙吧？」,
「金も人手もないのに、仕事だけは際限なく湧いてきますからね……困ったものです」,「是啊。现在我们又缺钱又缺人手，但偏偏工作却没完没了地找上门来……真是让人为难呢」,
「お陰様で、先日の崖崩れの跡も手が着けられません」,「拜这所赐，就连前段时间悬崖崩塌的残迹都还没能腾出手处理」,
受け取った。,而我则接了下来。,
「皆、参っているようです」,「现在，在市井中流传着这样一个传闻」,
スラムで光？,在贫民区里发出光芒？,
「まあ、ヤク中の与太でしょう」,「不过，这大概也只是人们自己的揣度吧」,
「冗談ですよ、カイムさんらしくもない」,「居然会把玩笑话当真，真不像您的风格呢」,
煙のように消えている。,她们就好像烟一样消失在空气中了。,
「気軽に呼び出さないでもらえるか」,「你能不能不这么随便地就把我叫出来？」,
「喧嘩を売るために呼んだのか？」,「你叫我出来是为了要和我吵架吗？」,
「最近、<うっぷん>鬱憤|が溜っている。悪いが手加減はできない」,「我最近可是积蓄了相当多的郁闷，要吵起来的话我可不会手下留情」,
ふくれっ面になった。,菲奥奈生气地鼓起了脸。,
「用件は何だ、早く言え」,「找我有什么事？有话快说」,
「人に質問しておいて意図を明かせないのか、失礼な奴め」,「再问别人问题的时候，却不把自己的意图挑明，真是个失礼的家伙」,
「ああ、生まれつき失礼でな」,「啊啊，我生下来就这么失礼了」,
軽く流す。,我轻描淡写地无视掉菲奥奈的责怪。,
礼を言って関所に入る。,我道完谢后，向关所走去。,
「国の方針だろう？」,「这是国家的方针吧？」,
「不条理な話だが、仕方のないことだ」,「虽然说起来很没有道理，但这是无可奈何的事情」,
「自分の財産を切り崩して、牢獄民に施す余裕があるのか？」,「他们有将自己的财产一分为二，去施舍给那些牢狱的民众的闲钱吗？」,
「フィオネ、牢獄に染まりすぎてるぞ」,「菲奥奈，现在的你已经浑身都染上了牢狱的气息啊」,
「お前の言葉は、まるで貴族のようだな」,「现在你的说话方式，听上去简直就像个贵族一样啊」,
「今は、余計なことを考えずに職務に励んだほうがいい」,「你现在不用考虑那些多余的事情，只要做好自己的本职工作就好」,
真っ白で何も見えない。,眼前一片空白，什么都看不见。,
何で？　どうして？,原因呢？之后的事情呢？,
一回でぼろぼろだ。,完全分不清前后左右。,
この声は……,这个声音是……,
『誰が正しく、誰が間違っているのか』,『你将会明白谁是正确的，而谁又是错误的』,
だんだん意識がぼんやりとしてきた。,头脑中的意识，则开始渐渐地变得模糊起来。,
真っ白だったはずなのに、何か見えてきた。,本来应该是茫然一片的视野中，出现了一些场景。,
声から意識をそらす。,声音从意识中渐渐消散。,
とたんに激痛が体を襲った。,剧烈的疼痛瞬间回到身体上来。,
必死に体を動かす。,我拼命地挪动着身体。,
内側から身体がはじけるような、絶望的な苦痛。,这份自身体的内侧向外溢出的痛苦，给人一种绝望的感觉。,
何とか目を開く。,我总算睁开了眼睛。,
目の前には、知らない人たちがいた。,在我的面前，一群不认识的人正站在那里。,
誰？,是谁？,
ルキウスさんだ。,是鲁基乌斯先生啊。,
「わかった、今夜は休んでいい」,「知道了，你今天晚上就好好休息吧」,
「頼んだぞ」,「拜托你了哦」,
表情には疲労が見えた。,脸上露出了相当疲惫的神色。,
ルキウスがシスティナを手で制する。,鲁基乌斯摆了摆手，示意西斯狄娜退下。,
「昏睡の件は誰に聞いた」,「昏迷的事情你是听谁说的？」,
「夜中に、スラムで謎の光が目撃されたらしくてな、その話題で持ちきりだったよ」,「有传言说，前天夜里有人在贫民区目击了一道谜样的光芒，而这个传言已经成为话题了」,
「なら、端的に聞こう」,「那么，我就开门见山地问了」,
「これ以上目撃情報が広まれば、牢獄民の不安が作り上げた空想ではすまなくなる」,「如果目击的情报继续扩散开来，牢狱人有可能会因为过度的不安而陷入更加无谓的妄想中」,
「そうなれば、自暴自棄になった牢獄民が暴動を起こす、か？」,「这样一来，那些自暴自弃的民众就会发生暴动，你是想这么说吗？」,
「牢獄でのことなら協力できた」,「既然是在牢狱的事情，我也能帮上你的忙啊」,
